City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
327,Lompoc,1,US,04/11/2020,93,34.64,-120.46,55.4,8.05
328,Tateyama,75,JP,04/11/2020,44,34.98,139.87,60.01,6.93
329,Katsuura,75,JP,04/11/2020,38,35.13,140.3,62.01,9.17
330,Pampa,1,US,04/11/2020,58,35.54,-100.96,60.8,24.16
331,Hasaki,20,JP,04/11/2020,46,35.73,140.83,68,13.87
332,Zhoucheng,18,CN,04/11/2020,29,35.91,116.31,63.09,9.71
333,Greeneville,1,US,04/11/2020,48,36.16,-82.83,41,2.51
334,Pahrump,40,US,04/11/2020,57,36.21,-115.98,54,8.05
335,Medea,75,DZ,04/11/2020,93,36.26,2.75,50,0.98
336,Qazvin,90,IR,04/11/2020,100,36.28,50,44.6,11.41
337,Rogers,1,US,04/11/2020,37,36.37,-95.58,57.2,8.05
338,Pacific Grove,20,US,04/11/2020,76,36.62,-121.92,55.99,6.93
339,Half Moon Bay,20,US,04/11/2020,87,37.46,-122.43,55.99,6.93
340,Alamosa,1,US,04/11/2020,18,37.47,-105.87,42.8,4.7
341,Eregli,0,TR,04/11/2020,33,37.51,34.05,47.64,4.12
342,Vila Franca Do Campo,20,PT,04/11/2020,76,37.72,-25.43,57.2,6.93
343,Lithakia,0,GR,04/11/2020,93,37.72,20.83,44.6,4.7
344,Dodge City,1,US,04/11/2020,58,37.75,-100.02,57.2,9.17
345,Soma,40,JP,04/11/2020,43,37.8,140.92,55.99,14.99
346,Cefalu,9,IT,04/11/2020,81,38.04,14.02,55.99,3
347,Siderno,0,IT,04/11/2020,62,38.28,16.3,57.99,6.93
348,Great Bend,1,US,04/11/2020,50,38.36,-98.76,55.4,18.34
349,Shache,76,CN,04/11/2020,11,38.42,77.24,71.96,5.55
350,Ribeira Grande,89,PT,04/11/2020,72,38.52,-28.7,60.84,4.76
351,Elvas,56,PT,04/11/2020,93,38.88,-7.16,54,2.24
352,Lagoa,71,PT,04/11/2020,71,39.05,-27.98,61.02,7.63
353,Bergama,0,TR,04/11/2020,67,39.12,27.18,57.2,5.82
354,Carbonia,5,IT,04/11/2020,100,39.17,8.52,52,3.36
